Denominación Distrito,Latitud,Longitud,DENOMINACIÓN LÍNEA DE INVERSIÓN,Total previsto,anyo,Denominacion Barrio,coord_x_UTM,coord_y_UTM
USERA,40.36871466198733,-3.6841715461243822,"DEPORTES, JUVENTUD  Y ESPARCIMIENTO","34533399,99",2024,San Fermín,441914.4219273812,4468906.8770069275
MONCLOA-ARAVACA,40.414589601150006,-3.737905359618084,INVERSIONES DE CARÁCTER GENERAL,"1300000,00",2024,Casa de Campo,437394.9265402667,4474035.6318115
MONCLOA-ARAVACA,40.41591086726451,-3.7365028614655538,INVERSIONES DE CARÁCTER GENERAL,"2300000,00",2024,Casa de Campo,437515.14009521215,4474181.299302711
ARGANZUELA,40.391155797932186,-3.696754726543702,CULTURA,"1592127,85",2024,Chopera,440865.7375873797,4471406.1565381475
CIUDAD LINEAL,40.4401633,-3.6598874,SALUD PÚBLICA,"1663201,36",2024,Guindalera,444035.347564471,4476821.954356831
CIUDAD LINEAL,40.425493779123705,-3.6463705378048585,SALUD PÚBLICA,"6636860,00",2024,Ventas,445169.79825357447,4475185.165430784
CIUDAD LINEAL,40.42226660243856,-3.6438358812205687,SALUD PÚBLICA,"1454511,00",2024,Ventas,445382.1988472362,4474825.38053973
CIUDAD LINEAL,40.42605884918717,-3.64609775690994,SALUD PÚBLICA,"2278956,50",2024,Ventas,445193.396491849,4475247.718703647
CIUDAD LINEAL,40.42560403792112,-3.645866282547669,SALUD PÚBLICA,"6287238,90",2024,Ventas,445212.66288405523,4475197.091295723
CARABANCHEL,40.36802649157321,-3.722223095521621,SALUD PÚBLICA,"3230393,80",2024,Buenavista,438683.2271227423,4468856.1731681535
VICÁLVARO,40.4069441,-3.5531687,VIVENDA,"18965666,93",2024,El Cañaveral,453063.0610976127,4473072.499249218
VICÁLVARO,40.4067067,-3.5560424,VIVENDA,"18004154,80",2024,El Cañaveral,452819.0576577327,4473047.678119079
VICÁLVARO,40.4067044,-3.556465,VIVENDA,"19382559,94",2024,El Cañaveral,452783.19769201713,4473047.648489389
VICÁLVARO,40.405684,-3.5572887,VIVENDA,"17001919,79",2024,El Cañaveral,452712.59116502263,4472934.825577886
VICÁLVARO,40.4002565,-3.5605078,VIVENDA,"15074663,80",2024,El Cañaveral,452435.6205894397,4472334.106585593
VICÁLVARO,40.4006641,-3.5614487,VIVENDA,"15717155,00",2024,El Cañaveral,452356.0632774483,4472379.856378692
VICÁLVARO,40.4014654,-3.5614492,VIVENDA,"13414040,51",2024,El Cañaveral,452356.58575883106,4472468.799983849
VICÁLVARO,40.405514,-3.5615997,VIVENDA,"15404825,61",2024,El Cañaveral,452346.66971867456,4472918.271026585
VICÁLVARO,40.4010441,-3.5618687,VIVENDA,"9879432,49",2024,El Cañaveral,452320.69043756695,4472422.262371344
VICÁLVARO,40.4007041,-3.5621687,VIVENDA,"10105466,55",2024,El Cañaveral,452294.99276486697,4472384.68463575
VICÁLVARO,40.4054441,-3.5638987,VIVENDA,"15164459,54",2024,El Cañaveral,452151.5425198518,4472911.754195165
VICÁLVARO,40.4048787,-3.5647897,VIVENDA,"15233549,07",2024,El Cañaveral,452075.5371531758,4472849.478135537
VILLA DE VALLECAS,40.3741489393358,-3.63320586229997,VIVENDA,"15125106,16",2024,Casco Histórico de Vallecas,446245.71289168217,4469477.852570108
VILLA DE VALLECAS,40.374018500360705,-3.6350264765272,VIVENDA,"16110875,45",2024,Casco Histórico de Vallecas,446091.0518224853,4469464.482134068
VILLA DE VALLECAS,40.373514133952,-3.63516345063015,VIVENDA,"12903486,96",2024,Casco Histórico de Vallecas,446079.02164206706,4469408.5817061495
