Barrio,anyo,Indicador,valor_indicador
MEDIA LEGUA,2021,num_hosteleria,50.0
UNIVERSIDAD,2021,num_hosteleria,663.0
MIRASIERRA,2021,num_hosteleria,77.0
CUATRO CAMINOS,2021,num_hosteleria,343.0
IMPERIAL,2021,num_hosteleria,119.0
REJAS,2021,num_hosteleria,107.0
VALDEMARIN,2021,num_hosteleria,41.0
ARGUELLES,2021,num_hosteleria,265.0
EL PILAR,2021,num_hosteleria,245.0
EMBAJADORES,2021,num_hosteleria,549.0
CASTILLEJOS,2021,num_hosteleria,241.0
PAVONES,2022,num_hosteleria,23.0
CASCO H.BARAJAS,2022,num_hosteleria,94.0
BUTARQUE,2022,num_hosteleria,55.0
ALMENDRALES,2022,num_hosteleria,119.0
TRAFALGAR,2022,num_hosteleria,348.0
PALOS DE LA FRONTERA,2022,num_hosteleria,0.0
PALOS DE MOGUER,2022,num_hosteleria,228.0
VALDEFUENTES,2022,num_hosteleria,165.0
MOSCARDO,2022,num_hosteleria,167.0
LOS ROSALES,2022,num_hosteleria,140.0
PRADOLONGO,2022,num_hosteleria,120.0
VENTAS,2022,num_hosteleria,201.0
LOS JERONIMOS,2022,num_hosteleria,98.0
AEROPUERTO,2022,num_hosteleria,91.0
VISTA ALEGRE,2022,num_hosteleria,316.0
ORCASITAS,2022,num_hosteleria,60.0
LEGAZPI,2022,num_hosteleria,100.0
SAN DIEGO,2022,num_hosteleria,190.0
FUENTELARREINA,2022,num_hosteleria,4.0
EL PARDO,2022,num_hosteleria,43.0
ADELFAS,2022,num_hosteleria,67.0
CAMPAMENTO,2022,num_hosteleria,59.0
LA PAZ,2022,num_hosteleria,105.0
ENTREVIAS,2022,num_hosteleria,133.0
CASCO H.VICALVARO,2022,num_hosteleria,157.0
PROSPERIDAD,2022,num_hosteleria,225.0
BERRUGUETE,2022,num_hosteleria,117.0
ALMAGRO,2022,num_hosteleria,269.0
LOS CARMENES,2022,num_hosteleria,67.0
LUCERO,2022,num_hosteleria,139.0
GAZTAMBIDE,2022,num_hosteleria,250.0
COSTILLARES,2022,num_hosteleria,62.0
ARAPILES,2022,num_hosteleria,200.0
SAN ANDRES,2022,num_hosteleria,215.0
CUATRO VIENTOS,2022,num_hosteleria,15.0
ROSAS,2022,num_hosteleria,221.0
TIMON,2022,num_hosteleria,52.0
PEÑAGRANDE,2022,num_hosteleria,0.0
SAN CRISTOBAL,2022,num_hosteleria,59.0
PALOMERAS SURESTE,2022,num_hosteleria,130.0
CORTES,2022,num_hosteleria,479.0
CANILLAS,2022,num_hosteleria,172.0
ATALAYA,2022,num_hosteleria,6.0
PORTAZGO,2022,num_hosteleria,125.0
